#,Song,Artist,Genres,Album,Album Date
55,Anvil,Lorn,"witch house, idm",Vessel,2015-01-01
56,Rats,Mr.Kitty,"witch house, darkwave",Time,2014-08-08
57,Sail,Mareux,"darkwave, cold wave",Decade,2013-07-07
58,Flinch Awake,Provoker,"darkwave, lo-fi indie, post-punk, cold wave",Dark Angel,2018-06-15
59,Morphine,Boy Harsher,"darkwave, cold wave, post-punk, ebm, gothic rock, deathrock, synthpop",Yr Body Is Nothing,2016-01-01
60,Sulk,TR/ST,"darkwave, cold wave, witch house, synthpop, post-punk, ebm, electroclash",TRST,2012-02-28
61,Burn Out,Johnny Goth,bedroom pop,Let Them In,2019-09-13
62,Psycho,Mareux,"darkwave, cold wave",Psycho,2019-06-29
63,Underground,Mareux,"darkwave, cold wave",Underground,2019-01-01
64,An Answer,The Mall,"darkwave, cold wave, post-punk",Zone,2020-02-20
65,Innocence,Cristoforo Donadi,"darkwave, cold wave",Innocence,2018-10-02
66,Choke,Mareux,"darkwave, cold wave",Predestiny,2020-04-17
67,We Were Lovers,Buzz Kull,"darkwave, cold wave, post-punk, ebm, gothic rock, deathrock, industrial",Chroma,2017-04-20
68,Fantasmas,Twin Tribes,"darkwave, post-punk, cold wave, gothic rock, deathrock",Ceremony,2019-12-13
69,Eternal Rest,"Sidewalks and Skeletons, CASHFORGOLD","witch house, darkwave",Eternal Rest,2020-11-13
70,Wasting,The Soft Moon,"cold wave, darkwave, post-punk, ebm, witch house, gothic rock, industrial, deathrock",Deeper,2015-03-31
71,Embrace,Pastel Ghost,"witch house, darkwave",Abyss,2015-03-10
72,Invisible,Labyrinth Ear,"witch house, darkwave, cold wave",Invisible,2020-12-21
73,Dayflower,Cathedral Bells,"dream pop, shoegaze",Ether,2021-01-29
74,Isolator,House of Harm,"darkwave, cold wave, post-punk, gothic rock, deathrock",Vicious Pastimes,2020-09-04
75,Alone Tonight,Gap Girls,darkwave,Street Desires,2019-02-01
76,Biohazard,Momma,indie rock,Two of Me,2020-06-05
77,New Wave Hookers,Vestron Vulture,"darkwave, post-punk, cold wave, synthwave, witch house",Collection III,2017-01-01
78,Judas Effect,Vestron Vulture,"darkwave, post-punk, cold wave, synthwave, witch house",Lionheart,2020-10-10
79,After Dark,Mr.Kitty,"witch house, darkwave",Time,2014-10-06
80,nihilist blues (feat. Grimes),"Bring Me The Horizon, Grimes","metalcore, emo, screamo, rock, post-hardcore, art pop",amo,2019-01-25
81,Feelings,TWIN ION ENGINE,"darkwave, post-punk, cold wave, gothic rock",Sonar,2021-08-27
82,Running Up That Hill,Placebo,britpop,Covers,2003-03-24
