#,Song,Artist,Genres,Album,Album Date
360,My Curse,Killswitch Engage,"metalcore, metal",As Daylight Dies (Special Edition),2007-02-06
362,Avalancha,Heroes Del Silencio,"rock en español, latin rock, mexican rock, latin alternative",Avalancha,1995-11-07
363,I'm In The Band,The Hellacopters,"garage rock, punk",I'm In The Band,2005-01-01
364,In the Belly of a Shark,Gallows,"hardcore punk, hardcore, punk",Orchestra Of Wolves (new version),2007-06-18
365,Through the Fire and Flames - Live,DragonForce,"power metal, speed metal, metal, symphonic metal",Twilight Dementia,2010-01-01
366,Nothing For Me Here,Dope,"industrial metal, nu metal, industrial rock, metal",No Regrets,2009-03-10
367,Go That Far,Bret Michaels,glam metal,Go That Far,2007-02-27
368,Minus Celsius,Backyard Babies,punk,Stockholm Syndrome,2003-03-01
369,The Devil Went Down To Georgia,The Charlie Daniels Band,"southern rock, outlaw country, classic country, country rock, country",Outlaws Super Hits,1996-03-19
370,The Number Of The Beast - 1998 Remastered Version,Iron Maiden,"heavy metal, metal, hard rock, rock",The Number Of The Beast (1998 Remastered Edition),1982-01-01
372,Raining Blood,Slayer,"thrash metal, metal, speed metal, heavy metal, groove metal, death metal",Reign In Blood,1986-01-01
373,Cult of Personality,Living Colour,"funk rock, hard rock",Playlist: The Very Best Of Living Colour,2009-04-09
374,Knights of Cydonia,Muse,"alternative rock, rock",Black Holes and Revelations,2006-06-28
375,3's & 7's,Queens of the Stone Age,"stoner rock, alternative rock",Guitar Hero III Legends of Rock Companion Pack,2007-01-01
376,Before I Forget,Slipknot,"nu metal, metal, alternative metal, rap metal, heavy metal",Vol 3. The Subliminal Verses [Special Edition],2004-01-01
377,Stricken,Disturbed,"metal, nu metal, alternative metal, rap metal, hard rock",Ten Thousand Fists,2005-09-19
378,Monsters,Matchbook Romance,"emo, screamo, post-hardcore",Voices,2006-02-14
379,Pride and Joy,"Stevie Ray Vaughan, Double Trouble","blues, blues rock, classic blues, southern rock, modern blues",The Essential Stevie Ray Vaughan And Double Trouble 3.0,1983-01-01
380,The Metal,Tenacious D,comedy,The Pick Of Destiny,2006-11-11
381,Black Sunshine,"White Zombie, Iggy Pop","industrial metal, groove metal, hard rock, nu metal, industrial rock, industrial, rap metal, proto-punk, glam rock","Greatest Hits: Past, Present & Future",2003-10-13
382,Cherub Rock,The Smashing Pumpkins,"alternative rock, rock",(Rotten Apples) The Smashing Pumpkins Greatest Hits,2001-01-01
385,Welcome To The Jungle,Guns N' Roses,"rock, glam metal, hard rock, classic rock",Appetite For Destruction / G N'R Lies / The Spaghetti Incident,1987-07-21
386,La Grange - 1999 Remaster,ZZ Top,"southern rock, classic rock, blues rock, rock",Rancho Texicano: The Very Best of ZZ Top,2004-06-08
387,Same Old Song And Dance,Aerosmith,"classic rock, rock",The Essential Aerosmith,1973-01-01
388,Holiday In Cambodia,Dead Kennedys,"punk, hardcore punk, skate punk, proto-punk",OMFG! That’s Punk,2009-06-23
389,Rock You Like A Hurricane,Scorpions,"hard rock, glam metal, rock",Bad For Good: The Very Best Of Scorpions,2002-01-01
390,Even Flow,Pearl Jam,"grunge, rock, post-grunge",Ten,1991-01-01
391,Cities On Flame with Rock and Roll,Blue Öyster Cult,"classic rock, hard rock",The Best Of,2007-11-30
392,Kool Thing,Sonic Youth,"noise rock, grunge, alternative rock, post-punk, shoegaze",Goo (Deluxe Edition),1990-01-01
393,My Name Is Jonas,Weezer,alternative rock,Weezer,1994-05-10
394,Anarchy In The UK,Sex Pistols,"punk, proto-punk","Never Mind The Bollocks, Here Comes The Sex Pistols/Spunk",1977-10-27
395,Paranoid,Black Sabbath,"metal, heavy metal, rock, stoner rock, doom metal, hard rock",Paranoid,1970-09-18
396,"Paint It, Black",The Rolling Stones,"classic rock, rock",GRRR! (Deluxe Version),2012-01-01
397,Miss Murder,AFI,"punk, horror punk, emo, skate punk",Guitar Hero III Legends of Rock Companion Pack,2007-01-01
398,The Seeker - Edit,The Who,"classic rock, rock",The Who - Ultimate Collection,2002-06-11
399,Barracuda,Heart,"classic rock, aor, rock",Shaun White Snowboarding: Official Soundtrack,2008-11-18
400,Sunshine Of Your Love,Cream,"classic rock, psychedelic rock, acid rock, blues rock",Gold,2005-04-26
401,School's Out - Single Version,Alice Cooper,"glam rock, hard rock, glam metal, proto-punk, classic rock",Another Shot of Old Skool of Rock,2009-01-01
402,Mississippi Queen,Mountain,"classic rock, southern rock, blues rock",Drivin' South: Southern Rockin' Smash Hits,2001-07-16
403,Sabotage - 2009 Digital Remaster,Beastie Boys,"rap rock, old school hip hop, east coast hip hop, hip hop",Ill Communication (Deluxe Version) [Remastered],1994-05-23
404,Story of My Life,Social Distortion,"punk, skate punk, ska punk, psychobilly",Social Distortion,1990-03-27
405,Hit Me With Your Best Shot - 1999 Digital Remaster,Pat Benatar,aor,Synchronistic Wanderings,1999-09-23
406,Talk Dirty To Me,Poison,"glam metal, glam rock",Look What The Cat Dragged In,1986-01-01
407,Slow Ride - Edit,Foghat,"classic rock, southern rock",Slow Ride / Save Your Loving (For Me),1975-01-01
408,Vivienne,Sundara Karma,indie,Youth is Only Ever Fun in Retrospect,2017-07-07
410,Pachuca Sunrise,Minus the Bear,"math rock, post-hardcore",Acoustics,2008-10-07
412,Banana Pancakes,Jack Johnson,surf rock,In Between Dreams,2005-01-01
416,Black Flies,Ben Howard,"indie folk, folk pop",Every Kingdom,2011-01-01
418,XO,John Mayer,singer-songwriter,XO,2014-05-27
419,History,This Wild Life,"acoustic pop, pop punk",Clouded (Deluxe Edition),2014-05-27
420,Fire and the Flood,Vance Joy,folk pop,Dream Your Life Away (Special Edition),2014-09-08
423,Hands I Can Hold,Ziggy Alberts,folk pop,Land & Sea,2014-12-11
424,Black Hole (Liar Liar),Never Shout Never,emo,Recycled Youth - Volume One,2015-03-03
425,Lemons,Woodlock,indie folk,Lemons,2013-03-23
430,Coastline,Hollow Coves,indie folk,Wanderlust,2017-02-03
431,Trance-Like Getaway,Never Shout Never,emo,Recycled Youth - Volume One,2015-03-03
433,93 Million Miles,Jason Mraz,"soft pop, acoustic pop",Love Is a Four Letter Word (Deluxe Edition),2012-04-13
434,Curbside Prophet,Jason Mraz,"soft pop, acoustic pop",Waiting for My Rocket to Come,2002-01-01
435,Mykonos,Fleet Foxes,"indie folk, folk, indie",Sun Giant,2008-02-28
438,I'm Yours,Jason Mraz,"soft pop, acoustic pop",We Sing. We Dance. We Steal Things.,2008-05-12
439,Roll it on Home,John Mayer,singer-songwriter,The Search for Everything,2017-04-14
440,Jane Doe,Never Shout Never,emo,What Is Love?,2010-01-01
441,King of Spain,The Tallest Man On Earth,"indie folk, folk",The Wild Hunt,2010-04-13
445,"Right Ahead, You Sailor!","Right Away, Great Captain!",folk punk,The Bitter End,2007-01-01
448,Lucky,"Jason Mraz, Colbie Caillat","soft pop, acoustic pop",We Sing. We Dance. We Steal Things.,2008-05-12
449,Thinking out Loud,Ed Sheeran,soft pop,x (Deluxe Edition),2014-06-21
450,Say You Won't Let Go,James Arthur,soft pop,Back from the Edge,2016-10-28
454,Stop This Train,John Mayer,singer-songwriter,Continuum,2006-09-11
455,Slow Jamz,"Twista, Kanye West, Jamie Foxx",rap,The College Dropout,2004-02-10
456,Passin' Me By,The Pharcyde,"jazz rap, west coast hip hop, old school hip hop",Bizarre Ride II The Pharcyde,1992-11-24
457,It Was A Good Day,Ice Cube,"gangster rap, west coast hip hop, old school hip hop, g-funk",The Predator,1992-11-17
458,Check the Rhime,A Tribe Called Quest,"jazz rap, east coast hip hop, hip hop, old school hip hop",The Low End Theory,1991-09-24
459,"327 (feat. Tyler, The Creator & Billie Essco)","Westside Gunn, Joey Bada$$, Tyler, The Creator, Billie Essco","boom bap, alternative hip hop, jazz rap, hip hop, rap, east coast hip hop",Pray for Paris,2020-04-17
460,"The Fly who couldn't Fly straight (feat. Tyler, The Creator)","Westside Gunn, Tyler, The Creator","boom bap, alternative hip hop, jazz rap",Hitler Wears Hermes 8: Side B,2021-09-24
461,Brand New 911,"Joey Bada$$, Westside Gunn","hip hop, rap, boom bap, alternative hip hop, jazz rap",2000,2022-07-22
462,"Down Like That (feat. Rick Ross, Lil Baby & S-X)","KSI, S-X, Lil Baby, Rick Ross",southern hip hop,"Down Like That (feat. Rick Ross, Lil Baby & S-X)",2019-11-08
463,CIGARETTE,Lil Uzi Vert,melodic rap,RED & WHITE,2022-07-25
464,HUMBLE.,Kendrick Lamar,"hip hop, west coast hip hop",DAMN.,2017-04-14
465,Fazers,King Geedorah,"alternative hip hop, jazz rap, experimental hip hop",Take Me To Your Leader,2003-06-17
467,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,"hip hop, west coast hip hop","good kid, m.A.A.d city (Deluxe)",2012-01-01
468,goosebumps,Travis Scott,rap,Birds In The Trap Sing McKnight,2016-09-16
469,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock, Kendrick Lamar, Future, James Blake","hip hop, west coast hip hop, rap","King's Dead (with Kendrick Lamar, Future & James Blake)",2018-01-12
472,pick up the phone (feat. Quavo),"Young Thug, Travis Scott, Quavo","rap, melodic rap, trap",Birds In The Trap Sing McKnight,2016-09-16
473,The Art of Peer Pressure,Kendrick Lamar,"hip hop, west coast hip hop","good kid, m.A.A.d city",2012-01-01
475,Backseat Freestyle,Kendrick Lamar,"hip hop, west coast hip hop","good kid, m.A.A.d city",2012-01-01
478,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari","hip hop, west coast hip hop",DAMN.,2017-04-14
480,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator, Brent Faiyaz, Fana Hues","r&b, alternative r&b",CALL ME IF YOU GET LOST,2021-06-25
481,PRIDE.,Kendrick Lamar,"hip hop, west coast hip hop",DAMN.,2017-04-14
482,BANKROLL (feat. A$AP Rocky & A$AP Ferg),"BROCKHAMPTON, A$AP Rocky, A$AP Ferg",rap,"ROADRUNNER: NEW LIGHT, NEW MACHINE",2021-04-09
483,Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna",melodic rap,Drip Harder,2018-10-05
489,Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator, Rex Orange County, Anna of the North",bedroom pop,Flower Boy,2017-07-21
491,Deep Fried Frenz,MF DOOM,"experimental hip hop, east coast hip hop, jazz rap, alternative hip hop",MM..FOOD,2004-11-16
492,Margiela Split Toes (feat. Mach-Hommy),"Westside Gunn, Mach-Hommy","boom bap, alternative hip hop, jazz rap, experimental hip hop",Hitler Wears Hermes 8: Sincerely Adolf,2021-08-27
493,Wishing Well,Juice WRLD,"melodic rap, emo rap",Legends Never Die,2020-07-10
497,God's Plan,Drake,rap,Scorpion,2018-06-29
500,POCKET ROCKET,Cochise,rage rap,POCKET ROCKET,2021-08-20
501,DO IT AGAIN,Cochise,rage rap,DO IT AGAIN,2022-03-04
502,Poppin,Yeat,rage rap,2 Alivë,2022-02-18
503,Tell Em,"Cochise, $NOT",rage rap,Tell Em,2021-05-28
504,Sorry Bout That,Yeat,rage rap,4L,2021-06-10
507,New Tank,Playboi Carti,rage rap,Whole Lotta Red,2020-12-25
508,ILoveUIHateU,Playboi Carti,rage rap,Whole Lotta Red,2020-12-25
509,On That Time,Playboi Carti,rage rap,Whole Lotta Red,2020-12-25
510,Still countin,Yeat,rage rap,Still countin,2022-02-11
512,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator, Lil Uzi Vert, Pharrell Williams",melodic rap,CALL ME IF YOU GET LOST,2021-06-25
516,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign",trap soul,CALL ME IF YOU GET LOST,2021-06-25
518,SIR BAUDELAIRE (feat. DJ Drama),"Tyler, The Creator, DJ Drama",southern hip hop,CALL ME IF YOU GET LOST,2021-06-25
521,Mask Off,Future,rap,FUTURE,2017-06-30
522,STARGAZING,Travis Scott,rap,ASTROWORLD,2018-08-03
525,ZEZE (feat. Travis Scott & Offset),"Kodak Black, Offset, Travis Scott",rap,ZEZE (feat. Travis Scott & Offset),2018-10-12
527,CAN'T GET OVER YOU (feat. Clams Casino),"Joji, Clams Casino",cloud rap,TEST DRIVE,2018-10-16
533,No Problem (feat. Lil Wayne & 2 Chainz),"Chance the Rapper, Lil Wayne, 2 Chainz","rap, hip hop, southern hip hop",Coloring Book,2016-05-27
535,SAD!,XXXTENTACION,emo rap,?,2018-03-16
537,Lucid Dreams,Juice WRLD,"melodic rap, emo rap",Lucid Dreams,2018-05-04
542,XO TOUR Llif3,Lil Uzi Vert,melodic rap,XO TOUR Llif3,2017-03-24
544,This Old Dog,Mac DeMarco,"indie, lo-fi indie",This Old Dog,2017-05-05
546,Hunnybee,Unknown Mortal Orchestra,neo-psychedelic,Sex & Food,2018-04-06
550,Piledriver Waltz,Arctic Monkeys,"indie, garage rock",Suck It and See,2011-06-06
551,Next to You,Flavors,"lo-fi hip hop, lo-fi, lo-fi beats, jazz beats",Next to You,2016-03-19
553,Colour Of The Trap,Miles Kane,baroque pop,Colour Of The Trap,2011-05-02
554,Halfway to Nowhere,Chelou,lo-fi indie,Halfway to Nowhere,2016-11-04
555,A Little While,Yellow Days,bedroom pop,Harmless Melodies,2016-11-18
563,Ignite,"Alan Walker, Julie Bergan, K-391, SEUNGRI","norwegian pop, k-pop",Ignite,2018-05-11
565,Frame of Mind,"Tristam, Braken","dubstep, drumstep, edm, chillstep",Frame of Mind,2014-04-25
568,It Happened In Monterey - Remastered 1998,Frank Sinatra,"christmas, big band, adult standards, swing music, jazz, vocal jazz",Concepts,1992-01-01
569,Blue Moon - 1999 Remastered,Frank Sinatra,"christmas, big band, adult standards, swing music, jazz, vocal jazz",Sinatra's Swingin' Session!!! And More (Remastered / Expanded Edition),1961-01-01
570,Uranium Rock,Warren Smith,"rockabilly, free jazz",The Roots Of The Cramps,2009-06-01
571,"Take Me Home, Country Roads - Rerecorded",John Denver,folk,"The John Denver Collection, Vol. 1: Take Me Home Country Roads",1997-06-17
572,Way Back Home,Bob Crosby & The Bob Cats,"big band, swing music, ragtime",Bob Crosby and the Bobcats: The Complete Standard Transcriptions,2004-01-01
573,Personality,Bing Crosby,christmas,The Great Jazz Voices,2015-08-21
577,Cat's in the Cradle,Harry Chapin,singer-songwriter,Verities & Balderdash,1974-01-01
578,(No One Knows Me) Like the Piano,Sampha,indie soul,Process,2017-02-03
583,Sí,Bunbury,"rock en español, latin rock, mexican rock",Flamingos,2002-02-28
586,Don't You Worry Child - Radio Edit,"Swedish House Mafia, John Martin",edm,Don't You Worry Child,2012-09-14
587,We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",alternative r&b,Some Nights,2012-02-21
593,Teardrop,"Massive Attack, Elizabeth Fraser","trip hop, downtempo",Mezzanine,1998-01-01
594,99 Luftballons,Nena,"neue deutsche welle, schlager, german pop",99 Luftballons,1984-08-21
595,Gangsta's Paradise,"Coolio, L.V.","west coast hip hop, g-funk",Gangsta's Paradise,1995-11-07
599,Good Morning,Kanye West,rap,Graduation,2007-09-11
600,Take on Me,a-ha,"new wave, synthpop",Hunting High and Low,1985-06-01
601,Stand Proud,Jin Hashimoto,anime,Stand Proud,2014-11-14
602,Highway to Hell,AC/DC,"rock, hard rock, classic rock, rock and roll",Highway to Hell,1979-07-27
603,Dream On,Aerosmith,"classic rock, rock",Aerosmith,1973-01-05
604,Knockin' On Heaven's Door,Guns N' Roses,"rock, glam metal, hard rock, classic rock",Use Your Illusion II,1991-09-18
605,Back In Black,AC/DC,"rock, hard rock, classic rock, rock and roll",Back In Black,1980-07-25
606,Stairway to Heaven - Remaster,Led Zeppelin,"classic rock, rock, hard rock, rock and roll",Led Zeppelin IV (Deluxe Edition),1971-11-08
607,Comfortably Numb,Pink Floyd,"progressive rock, psychedelic rock, classic rock, art rock, rock",The Wall,1979-11-30
608,Roundabout - 2003 Remaster,Yes,"progressive rock, art rock, aor",Fragile (Deluxe Edition),1971-11-26
609,Killer Queen - Remastered 2011,Queen,"classic rock, rock, glam rock",Sheer Heart Attack (Deluxe Remastered Version),1974-11-08
610,Hey Jude,The Beatles,"classic rock, psychedelic rock",Love,2006-11-17
611,"Another Brick in the Wall, Pt. 3",Pink Floyd,"progressive rock, psychedelic rock, classic rock, art rock, rock",The Wall,1979-11-30
612,"Another Brick in the Wall, Pt. 2",Pink Floyd,"progressive rock, psychedelic rock, classic rock, art rock, rock",The Wall,1979-11-30
613,"Another Brick in the Wall, Pt. 1",Pink Floyd,"progressive rock, psychedelic rock, classic rock, art rock, rock",The Wall,1979-11-30
614,Bicycle Race,Queen,"classic rock, rock, glam rock",Jazz,1978-11-10
615,Somebody To Love - Remastered 2011,Queen,"classic rock, rock, glam rock",A Day At The Races (Deluxe Remastered Version),1976-12-10
616,We Will Rock You - Remastered 2011,Queen,"classic rock, rock, glam rock",News Of The World (Deluxe Remastered Version),1977-10-28
617,Don't Stop Me Now - Remastered 2011,Queen,"classic rock, rock, glam rock",Jazz (Deluxe Remastered Version),1978-11-10
618,Bohemian Rhapsody - Remastered 2011,Queen,"classic rock, rock, glam rock",A Night At The Opera (Deluxe Remastered Version),1975-11-21
619,Another One Bites The Dust - Remastered 2011,Queen,"classic rock, rock, glam rock",The Game (Deluxe Remastered Version),1980-06-27
633,Second Youth,Lena Natalia,neoclassical,Second Youth,2016-11-11
635,Uncertain,Cinthya Garcia,neoclassical,Uncertain,2017-11-24
636,Kiss The Rain - Original,Yiruma,neoclassical,From The Yellow Room,2003-10-23
638,Satie: Gymnopedie,Erik Satie,"classical, classical piano",Eric Satie: Gymnopedie and Other Easy Listening Piano Music,2012-01-19
639,"Schumann: Kinderszenen, Op. 15: No. 7, Träumerei","Robert Schumann, Cyprien Katsaris","classical piano, classical, chamber music",40 Most Beautiful Piano Classics,2011-06-28
640,"Ravel: Jeux d'eau, M. 30","Maurice Ravel, Monique Haas","classical, classical piano, neoclassical",40 Most Beautiful Piano Classics,2011-06-28
641,Kimi Wa Haru No Naka Ni Iru,Cat Trumpet,anime,Your Lie In April Piano Collection,2017-02-17
642,Watashi No Uso (Your Lie in April Original Soundtrack),Theishter,anime,Watashi No Uso (Your Lie in April Original Soundtrack),2016-12-25
643,Uso To Honto,Cat Trumpet,anime,Your Lie In April Piano Collection,2017-02-17
644,Kirameki,Cat Trumpet,anime,Your Lie In April Piano Collection,2017-02-17
645,Tchaikovsky - Waltz from Sleeping Beauty,"Steve Porter, Pyotr Ilyich Tchaikovsky","classical, orchestral",Piano Arrangements,2010-04-21
646,Clair de Lune,"Claude Debussy, Josephine Ulmer","classical, classical piano","Klassisk Musik för Barn (Lugn, Vila och Bättre Sömn)",2011-09-07
648,Los Malaventurados No Lloran,PXNDX,"rock en español, mexican rock, latin rock",Amantes Sunt Amentes,2006-10-02
649,Arrullo De Estrellas,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Programaton,2013-01-01
650,Kiosko,Porter,"mexican indie, latin indie, mexican rock, latin alternative, rock en español, latin rock",Kiosko,2013-08-01
651,Cuervos,Porter,"mexican indie, latin indie, mexican rock, latin alternative, rock en español, latin rock",Atemahawke,2007-05-05
652,Cuxillo,Porter,"mexican indie, latin indie, mexican rock, latin alternative, rock en español, latin rock",Cuxillo,2017-05-26
653,Corazón Atómico,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Memo Rex Commander y el Corazón Atómico de la Vía Láctea,2006-07-12
654,Huitzil,Porter,"mexican indie, latin indie, mexican rock, latin alternative, rock en español, latin rock",Moctezuma,2015-03-03
655,Espiral,Porter,"mexican indie, latin indie, mexican rock, latin alternative, rock en español, latin rock",Donde los Ponys Pastan,2004-11-11
656,Hielo,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Aztlán,2018-04-18
657,Chilanga banda,Café Tacvba,"rock en español, mexican rock, latin rock, latin alternative, ska",Avalancha de éxitos,1996-01-01
658,No Hay Mal Que Dure,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Aztlán,2018-04-18
659,Soñé - En Vivo,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",MTV Unplugged Música De Fondo (Reissue/Live),2011-01-01
660,Azul,Zoé,"rock en español, mexican rock, mexican indie, latin alternative, latin indie, latin rock",Aztlán,2018-04-18
664,Brokendate,Com Truise,"synthwave, chillwave, vaporwave",Galactic Melt,2011-06-14
665,Клетка,Molchat Doma,"post-punk, darkwave, cold wave, gothic rock",Этажи,2018-09-07
666,Тоска,Molchat Doma,"post-punk, darkwave, cold wave, gothic rock",Этажи,2018-09-07
667,50//50,"Vantage, Absofacto","vaporwave, city pop",Socadona - Summer Virals,2022-03-11
668,Oh No!,"Rejjie Snow, Dana Williams",jazz rap,Dear Annie,2018-05-03
669,Day & Night,"Dabeull, HolyBrune","funk, nu disco",Intimate Fonk,2019-06-18
670,Night Ride,The Growlers,surf rock,City Club,2016-09-30
672,Ditch,Gus Dapperton,bedroom pop,Ditch,2016-06-03
673,Mrs Magic,Strawberry Guy,bedroom pop,Mrs Magic,2019-07-22
674,HIT EM WHERE IT HURTS,PawPaw Rod,indie r&b,HIT EM WHERE IT HURTS,2020-09-18
675,Lilly,Toro y Moi,chillwave,What For?,2015-04-07
678,Black Lipstick,Chicano Batman,"latin indie, latin alternative",Black Lipstick,2015-08-20
679,Grim,Gus Dapperton,bedroom pop,Orca,2020-09-18
680,First Aid,Gus Dapperton,bedroom pop,Orca,2020-09-18
681,"Prune, You Talk Funny",Gus Dapperton,bedroom pop,"Prune, You Talk Funny",2017-12-05
682,Halcyon Age,Vansire,bedroom pop,Angel Youth,2018-04-26
689,Nightcall,Kavinsky,"synthwave, french house",Nightcall,2010-01-01
692,Space Song,Beach House,dream pop,Depression Cherry,2015-08-28
693,Feels Like We Only Go Backwards,Tame Impala,"neo-psychedelic, indie",Lonerism,2012-01-01
695,Remorse,Scattle,synthwave,Visitors,2014-04-29
696,Beachwalk - Zen Remix,Whitewoods,vaporwave,Beachwalk (Zen Remix),2017-01-07
697,Homage,Mild High Club,neo-psychedelic,Skiptracing,2016-08-26
698,Renee,SALES,bedroom pop,Renee,2013-06-23
699,Realizations,Josh Lis,"synthwave, vaporwave, chillwave",Rear View,2017-06-29
701,Dontmakemefallinlove,Cuco,bedroom pop,Chiquito,2018-05-04
707,Dreams Tonite,Alvvays,"dream pop, shoegaze, jangle pop, indie",Antisocialites,2017-09-08
708,Lover Is a Day,Cuco,bedroom pop,wannabewithu,2016-07-09
709,Amor de Siempre,Cuco,bedroom pop,wannabewithu,2016-07-09
713,Feel It All Around,Washed Out,"chillwave, dream pop",Life Of Leisure,2009-09-08
714,Marijuana,Chrome Sparks,chillwave,Sparks EP,2013-08-29
715,Somber Waves,Whitewoods ,vaporwave,Play the Game,2016-04-01
716,Beach Walk,Whitewoods ,vaporwave,Beach Walk,2015-12-03
717,Resonance,Home,"vaporwave, synthwave, chillwave",Odyssey,2014-07-01
721,Summer Time High Time,"Cuco, Kwe$t",bedroom pop,Chiquito,2018-05-04
725,SUPERPOSITION,"Daniel Caesar, John Mayer",singer-songwriter,CASE STUDY 01,2019-06-28
726,Street Lights,Kanye West,rap,808s & Heartbreak,2008-11-24
741,All the Rage Back Home,Interpol,"indie rock, post-punk",El Pintor,2014-09-08
742,Bodys,Car Seat Headrest,"midwest emo, indie rock",Twin Fantasy,2018-02-16
767,Mr. Brightside,The Killers,alternative rock,Hot Fuss,2004-06-15
768,Miss Atomic Bomb,The Killers,alternative rock,Battle Born (Deluxe Edition),2012-09-17
769,1979 - Remastered 2012,The Smashing Pumpkins,"alternative rock, rock",Mellon Collie And The Infinite Sadness (Remastered),1995-12-12
770,When You Were Young,The Killers,alternative rock,Sam's Town,2006-09-27
787,Ode To The Mets,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
788,Why Are Sundays So Depressing,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
789,Not The Same Anymore,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
790,At The Door,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
791,Eternal Summer,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
792,Brooklyn Bridge To Chorus,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
793,Bad Decisions,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
794,Selfless,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
795,The Adults Are Talking,The Strokes,"garage rock, alternative rock, indie rock",The New Abnormal,2020-04-10
796,Partners In Crime,The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
797,Happy Ending,The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
798,"Call It Fate, Call It Karma",The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
799,Fast Animals,The Strokes,"garage rock, alternative rock, indie rock",Fast Animals,2013-03-26
800,80's Comedown Machine,The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
801,50/50,The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
802,All The Time,The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
803,Tap Out,The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
804,Welcome To Japan,The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
805,Chances,The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
806,One Way Trigger,The Strokes,"garage rock, alternative rock, indie rock",Comedown Machine,2013-03-25
807,OBLIVIUS,The Strokes,"garage rock, alternative rock, indie rock",Future Present Past,2016-06-03
808,Threat of Joy,The Strokes,"garage rock, alternative rock, indie rock",Future Present Past,2016-06-03
809,You're So Right,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
810,Life Is Simple in the Moonlight,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
811,Gratisfaction,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
812,Metabolism,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
813,Games,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
814,Call Me Back,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
815,Taken for a Fool,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
816,Two Kinds of Happiness,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
817,Under Cover of Darkness,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
818,Machu Picchu,The Strokes,"garage rock, alternative rock, indie rock",Angles,2011-03-21
819,You Only Live Once,The Strokes,"garage rock, alternative rock, indie rock",First Impressions Of Earth,2006-01-03
820,Ize of the World,The Strokes,"garage rock, alternative rock, indie rock",First Impressions Of Earth,2006-01-03
821,You Talk Way Too Much,The Strokes,"garage rock, alternative rock, indie rock",Room On Fire,2003-10-28
822,New York City Cops,The Strokes,"garage rock, alternative rock, indie rock",Hard To Explain/New York City Cops,2002-04-30
823,Last Nite,The Strokes,"garage rock, alternative rock, indie rock",Is This It,2001-07-30
824,Optimista,Caloncho,"latin indie, mexican indie, latin alternative",Bálsamo,2017-08-11
825,Amor Ferrari,Luca Bocci,latin indie,No Pierdas la Simpleza,2020-06-19
826,Brillo Mio,Caloncho,"latin indie, mexican indie, latin alternative",Bálsamo,2017-08-11
828,¿A Qué Te Sabe el Café?,Sebastián Romero,"mexican indie, latin indie",Conversaciones Ajenas en un Café,2019-05-17
