#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
50,"Wake Up","Kowloon",0,105,"","","Come Over",2021-07-02,03:59,83,52,31,6,66,0,10,-9,F minor,4,2022-12-02,4xwmYMilHBbSLJs0toC0dh,"Roy Records LLC",4A,QZDA72058575
51,"Distant Crush","Teenage Priest",0,118,"bedroom pop, lo-fi indie","Pop, Electronic, Rock","Distant Crush",2019-11-01,03:28,72,67,2,65,66,0,10,-6,A,4,2022-12-02,3yhaZpF0bAByEZiTtjLaEx,"1220491 Records DK2",11B,QZHN61986360
52,"Rare Hearts","The Growlers",0,121,"surf rock","Rock","Chinese Fountain",2014-09-23,04:44,60,66,3,5,63,0,20,-7,G,4,2022-12-02,6Ke1lEwPXx2IlUbJpfpCle,"Everloving Records",9B,USER81404410
53,"Cosmic Realignment","Subsonic Eye",33,150,"shoegaze, dream pop","Pop, Rock","Strawberry Feels",2017-04-21,03:43,55,71,10,6,32,0,10,-8,F#/G♭,4,2022-12-02,2JPZFolVoxO4XU3SJH89tZ,"Middle Class Cigars",2B,QMPKX1704552
54,"Catflap","Sobs",22,126,"bedroom pop","Pop","Catflap",2017-06-23,03:00,69,62,29,0,71,0,0,-8,G,4,2022-12-02,3UVaAkaRkdkPFvb4WC4qRM,"Middle Class Cigars",9B,QM2PV1782677
55,"Fender","Sobs",13,110,"bedroom pop","Pop","Catflap",2017-06-23,01:40,66,40,98,48,28,0,40,-12,A,3,2022-12-02,5Iux7ePNj1ecVBDGsgrvsn,"Middle Class Cigars",11B,QM2PV1782678
56,"If You Wanna","The Vaccines",60,165,"indie","Pop, Rock","What Did You Expect from The Vaccines?",2011-03-14,02:54,35,87,0,0,54,0,30,-3,D,4,2022-12-02,6Ca3uEAuun3HusTUiIXKs1,"Columbia",10B,GBARL1100001
57,"CAN YOU HEAR THE MOON","Grady",46,146,"","","The in Between",2019-10-25,03:02,34,50,2,0,50,0,40,-6,F#/G♭ minor,4,2022-12-02,7pcANiSH8mEKLUIPAxiSDr,"TMWRK Records, LLC",11A,QMBZ91919576
58,"As It Was","Harry Styles",88,174,"","","Harry's House",2022-05-20,02:47,52,73,34,0,66,0,30,-5,F#/G♭ minor,4,2022-12-02,4Dvkj6JhhA12EX05fT7y2e,"Columbia",11A,USSM12200612
59,"Love Will Tear Us Apart - 2020 Remaster","Joy Division",70,147,"post-punk, new wave, gothic rock, darkwave, madchester, cold wave","Electronic, Rock, Pop","Love Will Tear Us Apart",1980-06-01,03:28,53,92,0,77,90,0,10,-7,D,4,2022-12-02,34iOH7LY3vme5rQxsVILZ4,"WM UK",10B,GBAHT2000137
60,"Ninjas","Rey Pila",46,160,"mexican indie, latin indie, mexican rock, latin alternative","Latin, Rock","Ninjas",2017-03-10,03:05,56,91,0,56,90,0,40,-3,C,4,2022-12-02,5IKWBKAjwcfsazbUR5HNFv,"Arts & Crafts Mexico",8B,MX2681700002
61,"Suedehead - 2011 Remaster","Morrissey",55,142,"britpop, madchester, new wave, jangle pop","Pop, Rock","Viva Hate (2014 Remaster)",1988-03-15,03:55,53,99,0,0,67,0,0,-5,D,4,2022-12-06,76HJoPhDFxD7rizsbCmZND,"Rhino/Warner Records",10B,GBAYE1100635
62,"Heavens Gate","Axolotes Mexicanos",26,115,"","","Salu2",2018-05-11,03:23,70,92,1,65,72,0,30,-6,F#/G♭ minor,4,2022-12-06,4X27jNXYJfch2j1cln815K,"Elefant Records distributed by Altafonte",11A,ES6641800081
63,"Lentes Negros","Primavera Club",0,100,"mexican indie, latin indie, latin alternative","Latin, Rock","Dorama",2020-01-10,04:50,75,71,27,0,81,0,10,-10,E minor,4,2022-12-06,4m2MWmhUPs7iwoFE2pIH2N,"Ibrahim Guevara",9A,QZK6Q1975486
64,"Me Estás Rompiendo el Corazón","Pequeño Fénix",0,74,"mexican indie, latin indie, latin alternative, mexican rock","Latin, Rock","Neurosis & Rock N´roll",2020-04-13,03:05,47,67,1,0,75,0,10,-8,A,4,2022-12-06,19R2ivMOwaeMI5MmXFf2JF,"MSR",11B,QM4TX1987021
65,"Morena","Noah Pino Palo",0,107,"latin indie, mexican indie, latin alternative","Latin, Rock","Morena",2019-06-21,04:31,82,60,30,24,88,0,0,-9,A,4,2022-12-06,6bbjdL68XBl5KUCObsHgjh,"Independent",11B,GBMA21996060
66,"Alexander","Rey Pila",3,135,"mexican indie, latin indie, mexican rock, latin alternative","Latin, Rock","The Future Sugar",2015-07-17,03:30,67,86,6,56,89,0,20,-5,F#/G♭,4,2023-02-06,3kPK1PRxYqNCzp2YKvArmb,"Arts & Crafts",2B,QMKBG1300011
67,"Anne solo","Clément Froissart, Concorde",11,122,"french indie pop","Pop","Anne solo",2023-01-12,03:43,79,77,14,2,75,0,10,-5,G minor,4,2023-02-06,70pdLmAbTG5Hxsr8UmJSFs,"Sister Records",6A,FR3HG2300010
68,"Sons","Concorde",42,104,"","","Floating There",2013-10-21,03:32,63,80,7,14,32,0,10,-6,C minor,4,2023-02-06,1I1IBDfNijHmOjYSCErerM,"Sister Records",5A,FR3HG1300023
69,"Posso Tenerti Con Me","CASX, Forse Danzica",1,140,"","","Posso Tenerti Con Me",2022-11-25,03:09,45,84,4,57,34,0,0,-7,A,4,2023-02-06,0SpalTBYUi9tZ66Ack8GcT,"CASX",11B,ITDI32200268
70,"Costa","Ultra P",13,126,"mexican indie, latin indie","Latin, Rock","Costa",2017-00-00,04:55,68,87,1,23,76,0,10,-5,D,4,2023-02-06,3rg6xysfrSsGc8LJzhJLwP,"Escondido Récords",10B,TCADD1722475
71,"Helicopter","Bloc Party",2,170,"","","Silent Alarm",2005-01-01,03:40,47,96,0,0,39,10,30,-4,B minor,4,2023-02-15,72aCha2Meq7txnk451hz7k,"UMC (Universal Music Catalogue)",10A,GBDNH0400364
72,"Broken Boy","Cage The Elephant",61,166,"","","Social Cues",2019-04-19,02:43,52,93,0,0,56,10,10,-3,E,4,2025-03-03,0RbcDELsGTciLeMGsSdJAc,"RCA Records Label",12B,USRC11803823
73,"Little Girl","Death From Above 1979",38,162,"garage rock","Rock","You're A Woman, I'm A Machine",2004-09-28,04:00,53,95,0,0,63,0,10,-7,G,4,2025-03-03,1Y5x0fSVMQu4PZnhXbC8q5,"Atlantic Records",9B,CAL450490207
74,"Woman","Wolfmother",58,113,"stoner rock","Rock","Wolfmother",2006-01-01,02:56,22,95,0,10,17,10,10,-4,D,1,2025-03-03,3CkjLJYnnyOtGk4Jx4iYS4,"Universal Music Australia Pty. Ltd.",10B,AUUM70500113
75,"Helicopter","Bloc Party",59,170,"","","Silent Alarm",2005-03-22,03:40,46,96,0,1,39,10,40,-4,B minor,4,2025-03-03,7vjzFWG4neQ9YYMN9yZ9hr,"Vice Records/Atlantic",10A,GBDNH0400364
