#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
59,"The Devil Went Down To Georgia","Steve Ouimette",0,148,"","","Epic",2010-10-12,06:16,29,93,0,13,41,0,10,-5,G,4,2017-08-05,6UbmWhxCm4HBKr1zrKGHgp,"Sumthing Else Music Works",9B,USSR21000168
60,"F.C.P.R.E.M.I.X.","The Fall of Troy",57,168,"post-hardcore, mathcore, math rock, screamo","Rock, Metal","Doppelganger",2005-00-00,03:57,23,89,0,0,51,0,20,-6,A minor,4,2017-08-05,4OsLDuaH0bWR6xM6nj66F8,"Equal Vision Records",8A,US3X50511203
61,"Bulls On Parade","Rage Against The Machine",74,166,"rap metal, rap rock, alternative metal, nu metal","Metal, Rock, Hip Hop","Evil Empire",1996-04-16,03:49,41,92,1,6,57,10,40,-7,F,4,2017-12-03,0tZ3mElWcr74OOhKEiNz1x,"Epic",7B,USSM19502563
62,"Rock And Roll All Nite","KISS",72,145,"glam rock, glam metal, hard rock, rock, classic rock","Rock, Metal","Dressed To Kill",1975-03-19,02:48,65,93,5,0,90,10,0,-6,C♯/D♭,4,2017-12-03,6KTv0Z8BmVqM7DPxbGzpVC,"Casablanca Records",3B,USPR37509157
63,"Black Magic Woman - Single Version","Santana",68,124,"","","Santana's Greatest Hits",1994-07-01,03:19,49,35,68,8,62,0,0,-14,D minor,4,2018-02-01,4YMQXzscifAREG0a7KNGhB,"Columbia/Legacy",7A,USSM17000643
64,"Through the Fire and Flames","DragonForce",62,200,"power metal, speed metal, metal, symphonic metal","Metal","Inhuman Rampage",2006-05-23,07:21,11,95,0,1,14,10,30,-5,C minor,4,2018-02-01,6nnacTL5on2aVsRhVDNUSo,"Roadrunner Records",5A,GBAJE0508258
65,"Back In Black","AC/DC",85,188,"rock, hard rock, classic rock, rock and roll","Rock","Back In Black",1980-07-25,04:16,31,70,1,1,76,0,0,-6,A,4,2018-10-01,08mG3Y1vljYA6bvDt4Wqkj,"Columbia",11B,AUAP08000046
66,"You Shook Me All Night Long","AC/DC",83,127,"rock, hard rock, classic rock, rock and roll","Rock","Back In Black",1980-07-25,03:30,53,77,0,0,76,0,30,-6,G,4,2018-10-01,2SiXAy7TuUkycRVbbWDEpo,"Columbia",9B,AUAP08000047
67,"Highway to Hell","AC/DC",86,116,"rock, hard rock, classic rock, rock and roll","Rock","Highway to Hell",1979-07-27,03:28,57,91,6,0,42,10,10,-5,F#/G♭ minor,4,2018-10-01,2zYzyRzz6pRmhPzyfMEC8s,"Columbia",11A,AUAP07900028
68,"Thunderstruck","AC/DC",87,134,"rock, hard rock, classic rock, rock and roll","Rock","The Razors Edge",1990-09-24,04:52,50,89,0,1,26,0,20,-5,E,4,2018-10-01,57bgtoPSgt236HzfBOd8kj,"Columbia",12B,AUAP09000014
69,"School's Out","Alice Cooper",67,134,"glam rock, hard rock, glam metal, proto-punk, classic rock","Rock, Metal","School's Out",1972-00-00,03:30,29,75,5,13,35,0,60,-9,F,4,2018-10-01,5Z8EDau8uNcP1E8JvmfkZe,"Rhino/Warner Records",7B,USWB19900782
70,"I Love Rock 'n' Roll","The Black Jets",0,94,"","","ReCovered Hits Volume 2",2010-02-08,02:57,76,48,7,0,68,0,0,-4,E minor,4,2018-10-01,0p20xyAdYkaxAPWdXr0sir,"Xelon Entertainment",9A,AUXN21001428
71,"First","Cold War Kids",68,78,"","","Hold My Home",2014-10-31,03:20,47,69,2,0,56,0,50,-4,D,4,2018-10-01,3omXshBamrREltcf24gYDC,"Cold War Kids",10B,USCJ81401258
72,"Slow Ride","Foghat",55,114,"classic rock, southern rock","Rock","Fool for the City",1975-00-00,08:14,44,64,1,1,59,0,10,-11,D,4,2018-10-01,5aYVqxyetmT5OYmvZCA90X,"Rhino",10B,USRH10175135
73,"Knockin' On Heaven's Door","Guns N' Roses",1,132,"rock, glam metal, hard rock, classic rock","Rock, Metal","Use Your Illusion II",1991-09-18,05:36,49,74,2,0,36,0,10,-7,F#/G♭,4,2018-10-01,32V8SrHZnYzZu7V47L2jgK,"Universal Music Group",2B,USIR10000472
74,"Sweet Child O' Mine","Guns N' Roses",6,125,"rock, glam metal, hard rock, classic rock","Rock, Metal","Appetite For Destruction",1987-07-21,05:56,45,90,14,7,70,0,10,-8,F#/G♭,4,2018-10-01,4MhTFsyqIJnjsOweVcU8ug,"Interscope",2B,USGF18714809
75,"Welcome To The Jungle","Guns N' Roses",5,123,"rock, glam metal, hard rock, classic rock","Rock, Metal","Appetite For Destruction",1987-07-21,04:33,45,96,3,28,34,0,30,-8,G#/A♭,4,2018-10-01,5NIPsWpDjJTFBoPxCUUeXp,"Interscope",4B,USGF18714801
76,"Barracuda","Heart",74,137,"classic rock, aor, rock","Rock","Little Queen",1977-05-14,04:21,55,69,2,11,67,0,10,-14,E minor,4,2018-10-01,4KfSdst7rW39C0sfhArdrz,"Epic/Portrait",9A,USSM10009075
77,"Ruby","Kaiser Chiefs",61,93,"britpop","Pop, Rock","Yours Truly, Angry Mob",2007-01-01,03:24,45,94,1,0,44,0,0,-3,F minor,4,2018-10-01,2fAIfPLrPUTW1AmJRR428Q,"Polydor Records",4A,GBDVX0600080
78,"Rock And Roll All Nite","KISS",40,142,"glam rock, glam metal, hard rock, rock, classic rock","Rock, Metal","Alive!",1975-09-10,04:07,42,99,36,0,18,10,70,-7,G#/A♭,4,2018-10-01,4RQLeiolnEGtcFwHxjtF7H,"Casablanca Records",4B,USPR37507379
79,"I Was Made For Lovin' You","KISS",85,128,"glam rock, glam metal, hard rock, rock, classic rock","Rock, Metal","Dynasty",1979-03-23,04:31,77,85,21,0,87,0,0,-6,E,4,2018-10-01,07q0QVgO56EorrSGHC48y3,"Casablanca Records",12B,USPR39330175
80,"Stairway to Heaven - Remaster","Led Zeppelin",81,82,"classic rock, rock, hard rock, rock and roll","Rock","Led Zeppelin IV (Deluxe Edition)",1971-11-08,08:02,34,34,58,0,20,0,10,-12,A minor,4,2018-10-01,5CQ30WqJwcep0pYcV4AMNc,"Atlantic Records",8A,USAT21300959
81,"Mississippi Queen","Mountain",67,140,"classic rock, southern rock, blues rock","Blues, Rock","Climbing!",1970-00-00,02:31,58,62,10,0,64,0,0,-8,A,4,2018-10-01,4vO9dmzNRqDhFY3jD1a3P7,"Columbia/Legacy",11B,USSM10017943
82,"Hit Me With Your Best Shot","Pat Benatar",71,127,"aor","","Crimes Of Passion",1980-08-05,02:51,74,58,12,0,94,0,20,-9,E,4,2018-10-01,0vOkmmJEtjuFZDzrQSFzEE,"Chrysalis\EMI Records (USA)",12B,USCH38400009
83,"Paradise City","Guns N' Roses",3,100,"rock, glam metal, hard rock, classic rock","Rock, Metal","Appetite For Destruction",1987-07-21,06:46,27,95,2,1,50,0,20,-9,B,4,2018-10-01,5Q41NLTmGbVPozwHKK7bk2,"Interscope",1B,USGF18714806
84,"Seven Nation Army","The White Stripes",5,124,"garage rock, blues rock, rock, alternative rock","Rock, Blues","Elephant",2003-04-01,03:51,73,46,1,45,32,0,20,-8,C,4,2018-10-01,7i6r9KotUPQg3ozKKgEPIN,"Third Man Records",8B,USVT10300001
85,"Miss Murder","AFI",70,144,"punk, horror punk, emo, skate punk","Rock, Metal","DECEMBERUNDERGROUND",2006-06-06,03:26,31,87,0,0,69,0,10,-5,G#/A♭,4,2018-10-01,0Ti2dlF2xLjXblvdU5fCxM,"Interscope",4B,USUM70602578
86,"You Only Live Once","The Strokes",70,121,"garage rock, alternative rock, indie rock","Rock","First Impressions Of Earth",2006-01-03,03:09,63,91,2,59,97,0,10,-2,B,4,2018-10-01,4fPBB44eDH71YohayI4eKV,"RCA Records Label",1B,USRC10503559
87,"When You Were Young","The Killers",79,130,"alternative rock","Rock","Sam's Town",2006-09-27,03:40,47,99,0,5,32,10,20,-3,B,4,2018-10-01,70wYA8oYHoMzhRRkARoMhU,"Island Records",1B,USUM70605164
