#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
36,"MANTRA","Bring Me The Horizon",62,90,"metalcore, emo, screamo, rock, post-hardcore","Rock, Metal","amo",2019-01-25,03:53,50,82,0,0,60,0,10,-4,C,4,2023-12-01,060RNnzoMay3wKJek1faPc,"RCA Records Label",8B,GBARL1801065
37,"nihilist blues (feat. Grimes)","Bring Me The Horizon, Grimes",53,134,"metalcore, emo, screamo, rock, post-hardcore, art pop","Pop, Rock, Metal","amo",2019-01-25,05:25,61,81,0,0,20,0,30,-6,E minor,4,2023-12-01,1JdWRS3PBZlSgKcPKcULtr,"RCA Records Label",9A,GBARL1801494
38,"Still into You","Paramore",83,136,"pop punk, emo","Rock, Pop","Paramore",2013-04-05,03:36,60,92,1,0,77,0,0,-4,F,4,2023-12-01,1yjY7rpaAQvKwpdUliHx0d,"Fueled By Ramen",7B,USAT21300012
39,"Decode","Paramore",78,164,"pop punk, emo","Rock, Pop","Decode",2008-11-04,04:21,28,87,0,1,28,0,10,-4,A#/B♭ minor,4,2023-12-01,1ZLtE9tSJdaUiIJ9YoKHQe,"Atlantic Records",3A,USAT22103220
40,"Misery Business","Paramore",76,173,"pop punk, emo","Rock, Pop","Riot!",2007-06-12,03:31,52,91,0,0,73,0,10,-4,C♯/D♭,4,2023-12-01,6SpLc7EXZIPpy0sVko0aoU,"Fueled By Ramen",3B,USAT20702617
41,"The Kill","Thirty Seconds To Mars",80,183,"","","A Beautiful Lie",2005-08-16,03:51,18,91,0,0,29,0,50,-4,E minor,3,2023-12-01,0lP4HYLmvowOKdsQ7CVkuq,"Virgin Records",9A,USVI20500136
42,"Sugar, We're Goin Down","Fall Out Boy",79,162,"emo, pop punk","Rock, Pop","From Under The Cork Tree",2005-05-03,03:49,49,84,1,0,57,0,10,-5,G,4,2023-12-01,2TfSHkHiFO4gRztVIkggkE,"Island Records",9B,USIR20500201
43,"Cherry Waves","Deftones",79,124,"nu metal, alternative metal, rap metal, shoegaze, rock","Metal, Rock, Hip Hop","Saturday Night Wrist",2006-10-25,05:17,47,86,0,1,17,0,10,-4,D,4,2023-12-01,70L6nHORQsblY813yNqUR3,"Maverick",10B,USMV20600284
44,"All I Wanted","Paramore",80,144,"pop punk, emo","Rock, Pop","Brand New Eyes",2009-09-25,03:45,49,72,2,3,15,0,10,-5,F#/G♭ minor,4,2023-12-01,1Bv3h7Vc4AaYA2BcSM3rVd,"Fueled By Ramen",11A,USAT20902328
45,"All The Small Things","blink-182",82,149,"pop punk, punk, rock, skate punk, emo","Rock, Pop","Enema Of The State",1999-06-01,02:47,43,90,1,0,69,0,60,-5,C,4,2023-12-01,2m1hi0nfMR9vdGC8UcrnwU,"Geffen",8B,USMC19959123
46,"I Miss You","blink-182",78,110,"pop punk, punk, rock, skate punk, emo","Rock, Pop","blink-182",2003-01-01,03:47,66,78,0,0,58,0,0,-7,B,4,2023-12-01,1oTo3ijRbaDAtrjJrGAPSw,"Geffen*",1B,USMC10346123
